Sep=;
DNS Ip; hostname; DNS Organization; whoami 'ns'; ns location; ns distance; whoami 'ecs'; whoami 'ip'; Akamai Edge; Akamai Edge Location; Akamai Edge Distance; Akamai Edge Pretransfer; Netflix Edge; Netflix Edge Location; Netflix Edge Distance; Netflix Edge Pretransfer; Youtube Edge; Youtube Edge Location; Youtube Edge Distance; Youtube Edge Pretransfer
74.82.42.42; ordns.he.net;  AS6939 Hurricane Electric LLC; 216.66.80.90;  Redwood City, US; 9; ; ; 2.19.124.127;  Älta, SE; 12; 54.9; 3.211.157.115;  Ashburn,US; 37; 737.8; 172.217.21.174;  Mountain View,US; 14; 70.3
8.20.247.20; ns2.recursive.dnsbycomodo.com;  AS23393 NuCDN LLC; 45.32.158.47;  Frankfurt am Main, DE; 12; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 52.214.181.141;  Dublin,IE; 27; 206.5; 216.58.212.174;  London,GB; 20; 190.5
8.26.56.26; ns1.recursive.dnsbycomodo.com;  AS23393 NuCDN LLC; 95.179.162.213;  Frankfurt am Main, DE; 12; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 52.214.181.141;  Dublin,IE; 27; 206.5; 216.58.212.174;  London,GB; 20; 190.5
8.26.56.26; ns1.recursive.dnsbycomodo.com;  AS23393 NuCDN LLC; 95.179.162.213;  Frankfurt am Main, DE; 12; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 52.214.181.141;  Dublin,IE; 27; 206.5; 216.58.212.174;  London,GB; 20; 190.5
8.8.4.4; dns.google;  AS15169 Google LLC; 74.125.46.133;  Lappeenranta, FI; 27; 155.4.129.0/24/24; 155.4.129.233; 23.78.61.14;  Ballerup,DK; 11; 141.4; 18.200.8.190;  Dublin,IE; 27; 120.1; 172.217.21.142;  Mountain View,US; 14; 110.9
8.8.4.4; dns.google;  AS15169 Google LLC; 74.125.46.133;  Lappeenranta, FI; 27; 155.4.129.0/24/24; 155.4.129.233; 23.78.61.14;  Ballerup,DK; 11; 141.4; 18.200.8.190;  Dublin,IE; 27; 120.1; 172.217.21.142;  Mountain View,US; 14; 110.9
8.8.8.8; dns.google;  AS15169 Google LLC; 173.194.98.10;  Lappeenranta, FI; 27; 155.4.129.0/24/24; 155.4.129.169; 23.78.61.14;  Ballerup,DK; 11; 141.4; 52.214.181.141;  Dublin,IE; 27; 206.5; 142.250.74.14;  Mountain View, US; 14; 345.8
8.8.8.8; dns.google;  AS15169 Google LLC; 173.194.98.10;  Lappeenranta, FI; 27; 155.4.129.0/24/24; 155.4.129.169; 23.78.61.14;  Ballerup,DK; 11; 141.4; 52.214.181.141;  Dublin,IE; 27; 206.5; 142.250.74.14;  Mountain View, US; 14; 345.8
8.8.8.8; dns.google;  AS15169 Google LLC; 173.194.98.10;  Lappeenranta, FI; 27; 155.4.129.0/24/24; 155.4.129.169; 23.78.61.14;  Ballerup,DK; 11; 141.4; 52.214.181.141;  Dublin,IE; 27; 206.5; 142.250.74.14;  Mountain View, US; 14; 345.8
81.26.228.3; ns10.bredband.com;  AS2119 Telenor Norge AS; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
